Torque,Speed
0.000131559,300
0.000129586,300
0.000127642,300
0.000125727,300
0.000123841,300
0.000121984,300
0.000120154,300
0.000118352,300
0.000116576,300
0.000114828,300
0.000113105,300
0.000111409,300
0.000109738,300
0.000108092,300
0.00010647,300
0.000104873,300
0.0001033,300
0.000101751,300
0.000100224,300
9.8721e-05,300
9.72401e-05,300
9.57815e-05,300
9.43448e-05,300
9.29296e-05,300
9.15357e-05,300
9.01627e-05,300
8.88102e-05,300
8.74781e-05,300
8.61659e-05,300
8.48734e-05,300
8.36003e-05,300
8.23463e-05,300
8.11111e-05,300
7.98944e-05,300
7.8696e-05,300
7.75156e-05,300
7.63529e-05,300
7.52076e-05,300
7.40795e-05,300
7.29683e-05,300
7.18737e-05,300
7.07956e-05,300
6.97337e-05,300
6.86877e-05,300
6.76574e-05,300
6.66425e-05,300
6.56429e-05,300
6.46582e-05,300
6.36884e-05,300
6.2733e-05,300
6.1792e-05,300
6.08652e-05,300
5.99522e-05,300
5.90529e-05,300
5.81671e-05,300
5.72946e-05,300
5.64352e-05,300
5.55887e-05,300
5.47548e-05,300
5.39335e-05,300
5.31245e-05,300
5.23276e-05,300
5.15427e-05,300
5.07696e-05,300
5.0008e-05,300
4.92579e-05,300
4.8519e-05,300
4.77913e-05,300
4.70744e-05,300
4.63683e-05,300
4.56727e-05,300
4.49877e-05,300
4.43128e-05,300
4.36481e-05,300
4.29934e-05,300
4.23485e-05,300
4.17133e-05,300
4.10876e-05,300
4.04713e-05,300
3.98642e-05,300
3.92663e-05,300
3.86773e-05,300
3.80971e-05,300
3.75256e-05,300
3.69628e-05,300
3.64083e-05,300
3.58622e-05,300
3.53243e-05,300
3.47944e-05,300
3.42725e-05,300
3.37584e-05,300
3.3252e-05,300
3.27532e-05,300
3.22619e-05,300
3.1778e-05,300
3.13013e-05,300
3.08318e-05,300
3.03693e-05,300
2.99138e-05,300
2.94651e-05,300
2.90231e-05,300
2.85878e-05,300
2.8159e-05,300
2.77366e-05,300
2.73205e-05,300
2.69107e-05,300
2.65071e-05,300
2.61094e-05,300
2.57178e-05,300
2.5332e-05,300
2.49521e-05,300
2.45778e-05,300
2.42091e-05,300
2.3846e-05,300
2.34883e-05,300
2.3136e-05,300
2.27889e-05,300
2.24471e-05,300
2.21104e-05,300
2.17787e-05,300
2.1452e-05,300
2.11303e-05,300
2.08133e-05,300
2.05011e-05,300
2.01936e-05,300
1.98907e-05,300
1.95923e-05,300
1.92984e-05,300
1.9009e-05,300
1.87238e-05,300
1.8443e-05,300
1.81663e-05,300
1.78938e-05,300
1.76254e-05,300
1.7361e-05,300
1.71006e-05,300
1.68441e-05,300
1.65915e-05,300
1.63426e-05,300
1.60974e-05,300
1.5856e-05,300
1.56181e-05,300
1.53839e-05,300
1.51531e-05,300
1.49258e-05,300
1.47019e-05,300
1.44814e-05,300
1.42642e-05,300
1.40502e-05,300
1.38395e-05,300
1.36319e-05,300
1.34274e-05,300
1.3226e-05,300
1.30276e-05,300
1.28322e-05,300
1.26397e-05,300
1.24501e-05,300
1.22634e-05,300
1.20794e-05,300
1.18982e-05,300
1.17197e-05,300
1.15439e-05,300
1.13708e-05,300
1.12002e-05,300
1.10322e-05,300
1.08667e-05,300
1.07037e-05,300
1.05432e-05,300
1.0385e-05,300
1.02293e-05,300
1.00758e-05,300
9.92468e-06,300
9.77581e-06,300
9.62917e-06,300
9.48473e-06,300
9.34246e-06,300
9.20232e-06,300
9.06429e-06,300
8.92833e-06,300
8.7944e-06,300
8.66248e-06,300
8.53255e-06,300
8.40456e-06,300
8.27849e-06,300
8.15431e-06,300
8.032e-06,300
7.91152e-06,300
7.79285e-06,300
7.67595e-06,300
7.56081e-06,300
7.4474e-06,300
7.33569e-06,300
7.22566e-06,300
7.11727e-06,300
7.01051e-06,300
6.90535e-06,300
6.80177e-06,300
6.69975e-06,300
6.59925e-06,300
6.50026e-06,300
6.40276e-06,300
6.30672e-06,300
6.21212e-06,300
6.11893e-06,300
6.02715e-06,300
